label,precision,recall,f1,roc_auc
toxic,0.8688066992323796,0.8142576847612819,0.8406482106684673,0.9887199634882533
severe_toxic,0.5106382978723404,0.6,0.5517241379310345,0.992204116027345
obscene,0.8648648648648649,0.8331360946745562,0.8487040385774564,0.9941151412808519
threat,0.6976744186046512,0.625,0.6593406593406593,0.9883681646763042
insult,0.7135416666666666,0.8692893401015228,0.7837528604118993,0.9896121452639961
identity_hate,0.5271739130434783,0.6879432624113475,0.5969230769230769,0.988521641810118
