label,precision,recall,f1,roc_auc
toxic,0.8797101449275362,0.7939829954218444,0.8346510828463389,0.9887199634882533
severe_toxic,0.6190476190476191,0.325,0.4262295081967213,0.992204116027345
obscene,0.8467933491686461,0.8437869822485207,0.8452874925903971,0.9941151412808519
threat,0.76,0.3958333333333333,0.5205479452054794,0.9883681646763042
insult,0.7815344603381015,0.7626903553299492,0.7719974309569685,0.9896121452639961
identity_hate,0.6794871794871795,0.375886524822695,0.4840182648401826,0.988521641810118
