run_id,label,precision,recall,f1,roc_auc
run_01_lr1.50e-05_wd0.010_warm0.06,toxic,0.882480173035328,0.8005232177894048,0.8395061728395061,0.9880692047902766
run_01_lr1.50e-05_wd0.010_warm0.06,severe_toxic,0.5416666666666666,0.56875,0.5548780487804879,0.9922964932269908
run_01_lr1.50e-05_wd0.010_warm0.06,obscene,0.8467065868263473,0.8366863905325443,0.8416666666666667,0.9928264275006
run_01_lr1.50e-05_wd0.010_warm0.06,threat,0.5147058823529411,0.7291666666666666,0.603448275862069,0.9903257909071862
run_01_lr1.50e-05_wd0.010_warm0.06,insult,0.7364939360529217,0.8477157360406091,0.7882005899705015,0.9896419261901496
run_01_lr1.50e-05_wd0.010_warm0.06,identity_hate,0.5326633165829145,0.75177304964539,0.6235294117647059,0.9886552622929724
run_02_lr1.50e-05_wd0.010_warm0.10,toxic,0.85578231292517,0.8227599738391105,0.8389463154384795,0.9880397649508718
run_02_lr1.50e-05_wd0.010_warm0.10,severe_toxic,0.5329341317365269,0.55625,0.5443425076452599,0.9923200325990632
run_02_lr1.50e-05_wd0.010_warm0.10,obscene,0.8409356725146199,0.850887573964497,0.8458823529411764,0.992993100888494
run_02_lr1.50e-05_wd0.010_warm0.10,threat,0.4864864864864865,0.75,0.5901639344262295,0.9884820867379008
run_02_lr1.50e-05_wd0.010_warm0.10,insult,0.7120582120582121,0.8692893401015228,0.7828571428571428,0.9895832845349992
run_02_lr1.50e-05_wd0.010_warm0.10,identity_hate,0.5372340425531915,0.7163120567375887,0.6139817629179332,0.989210370204964
run_03_lr1.50e-05_wd0.015_warm0.06,toxic,0.863950276243094,0.8181818181818182,0.8404433993953645,0.9881132399003334
run_03_lr1.50e-05_wd0.015_warm0.06,severe_toxic,0.5139664804469274,0.575,0.5427728613569321,0.9922195451955944
run_03_lr1.50e-05_wd0.015_warm0.06,obscene,0.8742058449809402,0.8142011834319527,0.8431372549019608,0.992830890917612
run_03_lr1.50e-05_wd0.015_warm0.06,threat,0.5384615384615384,0.7291666666666666,0.6194690265486725,0.9899578357427194
run_03_lr1.50e-05_wd0.015_warm0.06,insult,0.7381738173817382,0.8515228426395939,0.7908073070123748,0.9896979327352612
run_03_lr1.50e-05_wd0.015_warm0.06,identity_hate,0.58125,0.6595744680851063,0.6179401993355482,0.988637775048572
run_04_lr1.50e-05_wd0.015_warm0.10,toxic,0.8674531575294934,0.8175277959450621,0.8417508417508418,0.9878870358686934
run_04_lr1.50e-05_wd0.015_warm0.10,severe_toxic,0.5248618784530387,0.59375,0.5571847507331378,0.992391441954678
run_04_lr1.50e-05_wd0.015_warm0.10,obscene,0.8335246842709529,0.8591715976331361,0.8461538461538461,0.9928652670591602
run_04_lr1.50e-05_wd0.015_warm0.10,threat,0.53125,0.7083333333333334,0.6071428571428571,0.9885835690341503
run_04_lr1.50e-05_wd0.015_warm0.10,insult,0.7383073496659243,0.8413705583756346,0.7864768683274022,0.9897430642230692
run_04_lr1.50e-05_wd0.015_warm0.10,identity_hate,0.5958904109589042,0.6170212765957447,0.6062717770034843,0.9889579261383636
run_05_lr1.75e-05_wd0.010_warm0.06,toxic,0.866481223922114,0.8149117069980379,0.8399056285810583,0.9880111636596256
