label,tn,fp,fn,tp,run_id
toxic,14179,250,263,1266,rebalanced__bce_no_pos_weight
severe_toxic,15701,97,75,85,rebalanced__bce_no_pos_weight
obscene,14937,176,126,719,rebalanced__bce_no_pos_weight
threat,15897,13,27,21,rebalanced__bce_no_pos_weight
insult,14998,172,194,594,rebalanced__bce_no_pos_weight
identity_hate,15779,38,69,72,rebalanced__bce_no_pos_weight
