label,precision_baseline,recall_baseline,f1_baseline,roc_auc_baseline,precision_tuned,recall_tuned,f1_tuned,roc_auc_tuned,run_id,preprocessing_variant,loss_variant
toxic,0.8350923482849604,0.8279921517331589,0.8315270935960591,0.9867167625912878,0.8350923482849604,0.8279921517331589,0.8315270935960591,0.9867167625912878,rebalanced__bce_no_pos_weight,rebalanced,bce_no_pos_weight
severe_toxic,0.46703296703296704,0.53125,0.49707602339181284,0.9914415590581086,0.44274809160305345,0.725,0.5497630331753555,0.9914415590581086,rebalanced__bce_no_pos_weight,rebalanced,bce_no_pos_weight
obscene,0.8033519553072626,0.850887573964497,0.8264367816091954,0.9924861506826091,0.8500604594921403,0.8319526627218935,0.8409090909090909,0.9924861506826091,rebalanced__bce_no_pos_weight,rebalanced,bce_no_pos_weight
threat,0.6176470588235294,0.4375,0.5121951219512195,0.9878077205112089,0.4430379746835443,0.7291666666666666,0.5511811023622047,0.9878077205112089,rebalanced__bce_no_pos_weight,rebalanced,bce_no_pos_weight
insult,0.7754569190600522,0.7538071065989848,0.7644787644787645,0.9888633975686718,0.7425860023724793,0.7944162436548223,0.7676272225628449,0.9888633975686718,rebalanced__bce_no_pos_weight,rebalanced,bce_no_pos_weight
identity_hate,0.6545454545454545,0.5106382978723404,0.5737051792828686,0.9875457190553122,0.5439560439560439,0.7021276595744681,0.6130030959752322,0.9875457190553122,rebalanced__bce_no_pos_weight,rebalanced,bce_no_pos_weight
