label,precision_baseline,recall_baseline,f1_baseline,roc_auc_baseline,precision_tuned,recall_tuned,f1_tuned,roc_auc_tuned,run_id,preprocessing_variant,loss_variant
toxic,0.6428571428571429,0.9417920209287116,0.764128416025471,0.9859754633556493,0.83841059602649,0.8279921517331589,0.8331688055281342,0.9859754633556493,baseline__bce_pos_weight_clip50,baseline,bce_pos_weight_clip50
severe_toxic,0.2926356589147287,0.94375,0.4467455621301775,0.991436613811875,0.41923076923076924,0.68125,0.5190476190476191,0.991436613811875,baseline__bce_pos_weight_clip50,baseline,bce_pos_weight_clip50
obscene,0.6340694006309149,0.9514792899408284,0.7610033128253668,0.9920540997464075,0.8145251396648044,0.8627218934911243,0.8379310344827586,0.9920540997464075,baseline__bce_pos_weight_clip50,baseline,bce_pos_weight_clip50
threat,0.45454545454545453,0.7291666666666666,0.56,0.9814614760108946,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.9814614760108946,baseline__bce_pos_weight_clip50,baseline,bce_pos_weight_clip50
insult,0.5156675749318801,0.9606598984771574,0.6710992907801419,0.9883828455173014,0.6962809917355371,0.8553299492385786,0.7676537585421412,0.9883828455173014,baseline__bce_pos_weight_clip50,baseline,bce_pos_weight_clip50
identity_hate,0.378839590443686,0.7872340425531915,0.511520737327189,0.9878627314089294,0.5971223021582733,0.5886524822695035,0.5928571428571429,0.9878627314089294,baseline__bce_pos_weight_clip50,baseline,bce_pos_weight_clip50
