label,tn,fp,fn,tp,run_id
toxic,14179,250,263,1266,rebalanced__bce_no_pos_weight
severe_toxic,15652,146,44,116,rebalanced__bce_no_pos_weight
obscene,14989,124,142,703,rebalanced__bce_no_pos_weight
threat,15866,44,13,35,rebalanced__bce_no_pos_weight
insult,14953,217,162,626,rebalanced__bce_no_pos_weight
identity_hate,15734,83,42,99,rebalanced__bce_no_pos_weight
