label,best_threshold,best_f1_on_val,train_size
toxic,0.92,0.8262820512820512,120000
severe_toxic,0.94,0.5401785714285714,120000
obscene,0.95,0.8348946135831382,120000
threat,0.81,0.6262626262626263,120000
insult,0.93,0.7441860465116279,120000
identity_hate,0.95,0.5533333333333333,120000
