label,precision_baseline,recall_baseline,f1_baseline,roc_auc_baseline,precision_tuned,recall_tuned,f1_tuned,roc_auc_tuned,train_size,pos_weight_toxic,pos_weight_severe_toxic,pos_weight_obscene,pos_weight_threat,pos_weight_insult,pos_weight_identity_hate
toxic,0.5751173708920188,0.9539260220635951,0.7175982426165487,0.9840515178809788,0.8092485549132948,0.81765087605451,0.8134280180761781,0.9840515178809788,90000,9.452961921691895,50.0,17.714908599853516,50.0,19.040081024169922,50.0
severe_toxic,0.2187938288920056,0.9570552147239264,0.3561643835616438,0.9894691765857411,0.40202702702702703,0.7300613496932515,0.5185185185185185,0.9894691765857411,90000,9.452961921691895,50.0,17.714908599853516,50.0,19.040081024169922,50.0
obscene,0.5475051264524948,0.9650602409638555,0.6986480593109463,0.9895158901072296,0.7917121046892039,0.8746987951807229,0.8311390955924441,0.9895158901072296,90000,9.452961921691895,50.0,17.714908599853516,50.0,19.040081024169922,50.0
threat,0.14641744548286603,0.8867924528301887,0.25133689839572193,0.9932061236231634,0.4594594594594595,0.6415094339622641,0.5354330708661418,0.9932061236231634,90000,9.452961921691895,50.0,17.714908599853516,50.0,19.040081024169922,50.0
insult,0.4382679929783499,0.9565772669220945,0.601123595505618,0.984664061891807,0.6643002028397565,0.8365261813537676,0.7405313736574336,0.984664061891807,90000,9.452961921691895,50.0,17.714908599853516,50.0,19.040081024169922,50.0
identity_hate,0.22568093385214008,0.8169014084507042,0.35365853658536583,0.9852605135110104,0.4041666666666667,0.6830985915492958,0.5078534031413613,0.9852605135110104,90000,9.452961921691895,50.0,17.714908599853516,50.0,19.040081024169922,50.0
