label,precision_baseline,recall_baseline,f1_baseline,roc_auc_baseline,precision_tuned,recall_tuned,f1_tuned,roc_auc_tuned,train_size,pos_weight_toxic,pos_weight_severe_toxic,pos_weight_obscene,pos_weight_threat,pos_weight_insult,pos_weight_identity_hate
toxic,0.6469534050179212,0.9370538611291369,0.7654386429896634,0.9860878333436933,0.8195060164661178,0.8397144711226476,0.8294871794871795,0.9860878333436933,143613,9.442303657531738,50.0,17.849323272705078,50.0,19.244291305541992,50.0
severe_toxic,0.2919847328244275,0.9386503067484663,0.44541484716157204,0.9912626695176115,0.44583333333333336,0.656441717791411,0.5310173697270472,0.9912626695176115,143613,9.442303657531738,50.0,17.849323272705078,50.0,19.244291305541992,50.0
obscene,0.6056018168054504,0.963855421686747,0.7438400743840075,0.9927715621874065,0.7935483870967742,0.8891566265060241,0.8386363636363636,0.9927715621874065,143613,9.442303657531738,50.0,17.849323272705078,50.0,19.244291305541992,50.0
threat,0.359375,0.8679245283018868,0.5082872928176796,0.9948271873683961,0.4074074074074074,0.8301886792452831,0.546583850931677,0.9948271873683961,143613,9.442303657531738,50.0,17.849323272705078,50.0,19.244291305541992,50.0
insult,0.5281941470378301,0.9450830140485313,0.6776556776556777,0.9869289536084969,0.7039045553145337,0.8288633461047255,0.7612903225806451,0.9869289536084969,143613,9.442303657531738,50.0,17.849323272705078,50.0,19.244291305541992,50.0
identity_hate,0.3592814371257485,0.8450704225352113,0.5042016806722689,0.9895100878411592,0.45794392523364486,0.6901408450704225,0.550561797752809,0.9895100878411592,143613,9.442303657531738,50.0,17.849323272705078,50.0,19.244291305541992,50.0
