label,best_threshold,best_f1_on_val,train_size
toxic,0.94,0.8105785123966942,70000
severe_toxic,0.88,0.5349794238683128,70000
obscene,0.9,0.826036866359447,70000
threat,0.8,0.5405405405405406,70000
insult,0.92,0.7425915165601394,70000
identity_hate,0.79,0.5459770114942529,70000
