label,best_threshold,best_f1_on_val,train_size
toxic,0.93,0.8235294117647058,110000
severe_toxic,0.91,0.5560344827586207,110000
obscene,0.95,0.8326530612244898,110000
threat,0.24,0.5419354838709678,110000
insult,0.92,0.7494199535962877,110000
identity_hate,0.93,0.5602240896358543,110000
