label,best_threshold,best_f1_on_val
toxic,0.94,0.8306047444036084
severe_toxic,0.94,0.5213849287169042
obscene,0.95,0.8340909090909091
threat,0.94,0.5954198473282443
insult,0.94,0.7532467532467533
identity_hate,0.95,0.5593667546174143
