label,precision,recall,f1,roc_auc
toxic,0.8560606060606061,0.8066190785204412,0.8306047444036084,0.9872261940026188
severe_toxic,0.3902439024390244,0.7852760736196319,0.5213849287169042,0.9909478615000087
obscene,0.789247311827957,0.8843373493975903,0.8340909090909091,0.9932752559683473
threat,0.5,0.7358490566037735,0.5954198473282443,0.9953989786052801
insult,0.6751012145748988,0.8518518518518519,0.7532467532467533,0.9869669942623417
identity_hate,0.4472573839662447,0.7464788732394366,0.5593667546174143,0.9897828104184032
