train_size,train_fraction,max_train_samples,tn,fp,fn,tp
10000.0,0.1636982713462546,10000.0,90728.0,1509.0,1091.0,2420.0
20000.0,0.3273965426925092,20000.0,90946.0,1291.0,1110.0,2401.0
30000.0,0.49109481403876376,30000.0,91037.0,1200.0,1052.0,2459.0
40000.0,0.6547930853850183,40000.0,91038.0,1199.0,989.0,2522.0
50000.0,0.8184913567312729,50000.0,91297.0,940.0,1159.0,2352.0
60000.0,0.9821896280775275,60000.0,91272.0,965.0,1068.0,2443.0
61088.0,1.0,61088.0,91211.0,1026.0,1091.0,2420.0
