label,distilbert_f1,bert_f1,delta_f1,distilbert_roc,bert_roc,delta_roc
toxic,0.8408,0.8411,0.0003,0.9869,0.9883,0.0014
severe_toxic,0.5431,0.5167,-0.0264,0.9917,0.9913,-0.0004
obscene,0.8445,0.8503,0.0058,0.9923,0.9943,0.002
threat,0.5679,0.625,0.0571,0.9861,0.9885,0.0024
insult,0.7718,0.7794,0.0076,0.989,0.9891,0.0001
identity_hate,0.6082,0.6205,0.0123,0.988,0.9883,0.0003
