train_size,train_fraction,max_train_samples,label,tn,fp,fn,tp
80000,0.5570526345108033,80000,toxic,14145,284,235,1294
80000,0.5570526345108033,80000,severe_toxic,15688,110,62,98
80000,0.5570526345108033,80000,obscene,14932,181,96,749
80000,0.5570526345108033,80000,threat,15895,15,21,27
80000,0.5570526345108033,80000,insult,14943,227,139,649
80000,0.5570526345108033,80000,identity_hate,15705,112,36,105
