train_size,train_fraction,max_train_samples,label,tn,fp,fn,tp
110000,0.7659473724523546,110000,toxic,14101,328,199,1330
110000,0.7659473724523546,110000,severe_toxic,15712,86,82,78
110000,0.7659473724523546,110000,obscene,14920,193,93,752
110000,0.7659473724523546,110000,threat,15893,17,21,27
110000,0.7659473724523546,110000,insult,14890,280,118,670
110000,0.7659473724523546,110000,identity_hate,15786,31,85,56
