train_size,train_fraction,max_train_samples,label,precision,recall,f1,roc_auc
10000,0.06963157931385042,10000,toxic,0.8038709677419354,0.8149117069980379,0.8093536862617733,0.9827737278419881
10000,0.06963157931385042,10000,severe_toxic,0.3924914675767918,0.71875,0.5077262693156733,0.9861299689834155
10000,0.06963157931385042,10000,obscene,0.8271918678526048,0.770414201183432,0.7977941176470589,0.9885937769787131
10000,0.06963157931385042,10000,threat,0.1728395061728395,0.2916666666666667,0.21705426356589147,0.8206526293735595
10000,0.06963157931385042,10000,insult,0.6510962821734986,0.866751269035533,0.743603701687534,0.9842736214610054
10000,0.06963157931385042,10000,identity_hate,0.4748201438848921,0.46808510638297873,0.4714285714285714,0.9298593352963886
20000,0.13926315862770083,20000,toxic,0.8253652058432935,0.8129496402877698,0.8191103789126853,0.9839117510104844
20000,0.13926315862770083,20000,severe_toxic,0.45493562231759654,0.6625,0.539440203562341,0.9906964093556145
20000,0.13926315862770083,20000,obscene,0.8434886499402628,0.8355029585798817,0.8394768133174791,0.991354048025584
20000,0.13926315862770083,20000,threat,0.24,0.375,0.2926829268292683,0.8988489943431802
20000,0.13926315862770083,20000,insult,0.7068004459308808,0.8045685279187818,0.7525222551928783,0.9859571221586821
20000,0.13926315862770083,20000,identity_hate,0.3162393162393162,0.524822695035461,0.39466666666666667,0.9371817825958872
30000,0.20889473794155125,30000,toxic,0.810420590081607,0.8443427076520602,0.8270339525944908,0.9858451031121876
30000,0.20889473794155125,30000,severe_toxic,0.4434782608695652,0.6375,0.5230769230769231,0.9906319233447272
30000,0.20889473794155125,30000,obscene,0.8425480769230769,0.829585798816568,0.8360166964818128,0.9922036242163083
30000,0.20889473794155125,30000,threat,0.5,0.2916666666666667,0.3684210526315789,0.9697530379216426
30000,0.20889473794155125,30000,insult,0.7439903846153846,0.7855329949238579,0.7641975308641975,0.9872992715384694
30000,0.20889473794155125,30000,identity_hate,0.3434343434343434,0.48226950354609927,0.40117994100294985,0.973613765958792
40000,0.27852631725540167,40000,toxic,0.8184126984126984,0.843034663178548,0.8305412371134021,0.9864846207321468
40000,0.27852631725540167,40000,severe_toxic,0.4719626168224299,0.63125,0.5401069518716578,0.9906372642106595
40000,0.27852631725540167,40000,obscene,0.8408551068883611,0.8378698224852071,0.8393598103141672,0.992321904767125
40000,0.27852631725540167,40000,threat,0.40350877192982454,0.4791666666666667,0.4380952380952381,0.9709996333542845
40000,0.27852631725540167,40000,insult,0.7237880496054115,0.8147208121827412,0.7665671641791045,0.988185588708679
40000,0.27852631725540167,40000,identity_hate,0.4368932038834951,0.6382978723404256,0.5187319884726225,0.9790321213776182
50000,0.3481578965692521,50000,toxic,0.8611111111111112,0.8109875735775016,0.8352980801616706,0.9868016372630133
50000,0.3481578965692521,50000,severe_toxic,0.44493392070484583,0.63125,0.5219638242894057,0.990970573806811
50000,0.3481578965692521,50000,obscene,0.806881243063263,0.8603550295857988,0.8327605956471936,0.992911467340512
50000,0.3481578965692521,50000,threat,0.6857142857142857,0.5,0.5783132530120482,0.9819165095327886
50000,0.3481578965692521,50000,insult,0.7220376522702104,0.8274111675126904,0.7711413364872857,0.9883152946805911
50000,0.3481578965692521,50000,identity_hate,0.5751633986928104,0.624113475177305,0.5986394557823129,0.9764168815579969
60000,0.4177894758831025,60000,toxic,0.8486886348352387,0.8253760627861347,0.8368700265251989,0.9871359686801809
60000,0.4177894758831025,60000,severe_toxic,0.47058823529411764,0.6,0.5274725274725275,0.9915772566147614
