train_size,train_fraction,max_train_samples,label,precision,recall,f1,roc_auc
10000,0.06963157931385042,10000,toxic,0.8321775312066574,0.7848266841072596,0.8078088185796028,0.9820864809673818
10000,0.06963157931385042,10000,severe_toxic,0.42857142857142855,0.6375,0.5125628140703518,0.9891762406633751
10000,0.06963157931385042,10000,obscene,0.8073286052009456,0.808284023668639,0.807806031933767,0.9875629234128539
10000,0.06963157931385042,10000,threat,0.0502092050209205,0.25,0.08362369337979095,0.9098431280117328
10000,0.06963157931385042,10000,insult,0.7311028500619579,0.748730964467005,0.7398119122257053,0.9837639158906337
10000,0.06963157931385042,10000,identity_hate,0.2786885245901639,0.3617021276595745,0.3148148148148148,0.9597831492016176
20000,0.13926315862770083,20000,toxic,0.8281353682813537,0.81621975147155,0.8221343873517787,0.9838721579393219
20000,0.13926315862770083,20000,severe_toxic,0.5112359550561798,0.56875,0.5384615384615384,0.9866510001265983
20000,0.13926315862770083,20000,obscene,0.8640406607369758,0.8047337278106509,0.8333333333333334,0.9887652270058654
20000,0.13926315862770083,20000,threat,0.32142857142857145,0.375,0.34615384615384615,0.9357067096165933
20000,0.13926315862770083,20000,insult,0.7424425634824667,0.7791878172588832,0.7603715170278638,0.9862880585178467
20000,0.13926315862770083,20000,identity_hate,0.4491017964071856,0.5319148936170213,0.487012987012987,0.9724986178351062
30000,0.20889473794155125,30000,toxic,0.8705882352941177,0.7743623283191629,0.8196607822776047,0.9841589867364797
30000,0.20889473794155125,30000,severe_toxic,0.46078431372549017,0.5875,0.5164835164835165,0.9905454804405621
30000,0.20889473794155125,30000,obscene,0.829585798816568,0.829585798816568,0.829585798816568,0.9902196353544913
30000,0.20889473794155125,30000,threat,0.3269230769230769,0.3541666666666667,0.34,0.9717191755709197
30000,0.20889473794155125,30000,insult,0.7521793275217933,0.766497461928934,0.7592708988057826,0.9868008592968354
30000,0.20889473794155125,30000,identity_hate,0.43037974683544306,0.48226950354609927,0.45484949832775917,0.9746141260166702
40000,0.27852631725540167,40000,toxic,0.855944055944056,0.8005232177894048,0.8273065224738088,0.9853686717773382
40000,0.27852631725540167,40000,severe_toxic,0.4744897959183674,0.58125,0.5224719101123596,0.9902881298265604
40000,0.27852631725540167,40000,obscene,0.8048780487804879,0.8591715976331361,0.8311390955924441,0.9910945825471781
40000,0.27852631725540167,40000,threat,0.42592592592592593,0.4791666666666667,0.45098039215686275,0.9721231405824429
40000,0.27852631725540167,40000,insult,0.7337278106508875,0.7868020304568528,0.7593386405388854,0.9877697432482626
40000,0.27852631725540167,40000,identity_hate,0.6347826086956522,0.5177304964539007,0.5703125,0.9783788158624552
50000,0.3481578965692521,50000,toxic,0.8439189189189189,0.816873773708306,0.8301761382519109,0.9861644766432837
50000,0.3481578965692521,50000,severe_toxic,0.451063829787234,0.6625,0.5367088607594936,0.9909070768451703
50000,0.3481578965692521,50000,obscene,0.8317422434367542,0.8248520710059172,0.8282828282828283,0.9899844446001854
50000,0.3481578965692521,50000,threat,0.5454545454545454,0.5,0.5217391304347826,0.9764757490048188
50000,0.3481578965692521,50000,insult,0.7354988399071926,0.8045685279187818,0.7684848484848484,0.9880726554212997
50000,0.3481578965692521,50000,identity_hate,0.5704697986577181,0.6028368794326241,0.5862068965517241,0.9824085047195382
60000,0.4177894758831025,60000,toxic,0.8599577762139339,0.7992151733158928,0.8284745762711865,0.9860581396713916
60000,0.4177894758831025,60000,severe_toxic,0.46766169154228854,0.5875,0.5207756232686981,0.991571915748829
60000,0.4177894758831025,60000,obscene,0.854679802955665,0.821301775147929,0.8376584188292094,0.9898339804635454
60000,0.4177894758831025,60000,threat,0.6666666666666666,0.4583333333333333,0.5432098765432098,0.9811517913262099
60000,0.4177894758831025,60000,insult,0.7230419977298524,0.8083756345177665,0.7633313361294188,0.9878144982917795
60000,0.4177894758831025,60000,identity_hate,0.48717948717948717,0.6737588652482269,0.5654761904761905,0.9856981244257794
70000,0.48742105519695295,70000,toxic,0.8701854493580599,0.7979071288423807,0.8324803821221426,0.9866231624860204
70000,0.48742105519695295,70000,severe_toxic,0.3987538940809969,0.8,0.5322245322245323,0.991388941638182
70000,0.48742105519695295,70000,obscene,0.8292964244521338,0.850887573964497,0.8399532710280374,0.9914702143262374
70000,0.48742105519695295,70000,threat,0.5121951219512195,0.4375,0.47191011235955055,0.9788366855227321
70000,0.48742105519695295,70000,insult,0.7187153931339978,0.8236040609137056,0.7675931401537551,0.9883484636053659
70000,0.48742105519695295,70000,identity_hate,0.5443786982248521,0.6524822695035462,0.5935483870967742,0.9870616810981273
80000,0.5570526345108033,80000,toxic,0.8610121168923734,0.790058862001308,0.8240109140518418,0.9858819992311645
80000,0.5570526345108033,80000,severe_toxic,0.40893470790378006,0.74375,0.5277161862527716,0.9912696622990251
80000,0.5570526345108033,80000,obscene,0.852760736196319,0.8224852071005917,0.8373493975903614,0.9913742508604803
80000,0.5570526345108033,80000,threat,0.5263157894736842,0.625,0.5714285714285714,0.983682301487534
80000,0.5570526345108033,80000,insult,0.7515225334957369,0.7829949238578681,0.766935985083903,0.9882814565215209
80000,0.5570526345108033,80000,identity_hate,0.5679012345679012,0.6524822695035462,0.6072607260726073,0.9867995966275624
90000,0.6266842138246538,90000,toxic,0.864561403508772,0.8057553956834532,0.8341232227488151,0.9866593560376216
90000,0.6266842138246538,90000,severe_toxic,0.4533898305084746,0.66875,0.5404040404040404,0.9909925307000886
90000,0.6266842138246538,90000,obscene,0.8518971848225214,0.8236686390532545,0.8375451263537906,0.9922693617352826
90000,0.6266842138246538,90000,threat,0.58,0.6041666666666666,0.5918367346938775,0.9795437879740205
90000,0.6266842138246538,90000,insult,0.7258426966292135,0.8197969543147208,0.7699642431466031,0.9887556926742267
90000,0.6266842138246538,90000,identity_hate,0.5614035087719298,0.6808510638297872,0.6153846153846154,0.9859911478672063
100000,0.6963157931385042,100000,toxic,0.8555555555555555,0.8057553956834532,0.8299090602896598,0.9871211467748916
100000,0.6963157931385042,100000,severe_toxic,0.4435146443514644,0.6625,0.531328320802005,0.9913576876819851
100000,0.6963157931385042,100000,obscene,0.8409090909090909,0.8319526627218935,0.8364069006543724,0.992030294855677
100000,0.6963157931385042,100000,threat,0.5238095238095238,0.6875,0.5945945945945946,0.9850879949717158
100000,0.6963157931385042,100000,insult,0.7431629013079667,0.7931472081218274,0.7673419275629221,0.988925301741013
100000,0.6963157931385042,100000,identity_hate,0.5384615384615384,0.6453900709219859,0.5870967741935483,0.9873145735556097
110000,0.7659473724523546,110000,toxic,0.8778901734104047,0.7946370176586004,0.8341915550978373,0.9870173934378667
110000,0.7659473724523546,110000,severe_toxic,0.41156462585034015,0.75625,0.5330396475770925,0.9916573696037473
110000,0.7659473724523546,110000,obscene,0.833729216152019,0.8307692307692308,0.8322465915826912,0.9920850695960256
110000,0.7659473724523546,110000,threat,0.48,0.75,0.5853658536585366,0.9839035983658077
110000,0.7659473724523546,110000,insult,0.7087912087912088,0.8185279187817259,0.7597173144876325,0.9886694451043838
110000,0.7659473724523546,110000,identity_hate,0.5364583333333334,0.7304964539007093,0.6186186186186187,0.9880976882311293
120000,0.835578951766205,120000,toxic,0.8393207054212932,0.8404185742315239,0.8398692810457516,0.9875539056151044
120000,0.835578951766205,120000,severe_toxic,0.39215686274509803,0.75,0.5150214592274678,0.9905757453475124
120000,0.835578951766205,120000,obscene,0.8392434988179669,0.8402366863905325,0.8397397989355411,0.9926471077645054
120000,0.835578951766205,120000,threat,0.5370370370370371,0.6041666666666666,0.5686274509803921,0.9822242300439974
120000,0.835578951766205,120000,insult,0.7449344457687723,0.7931472081218274,0.7682851874615857,0.9887602518328654
120000,0.835578951766205,120000,identity_hate,0.6194029850746269,0.5886524822695035,0.6036363636363636,0.9878078035258768
130000,0.9052105310800554,130000,toxic,0.8700486448922863,0.8188358404185743,0.8436657681940701,0.9870658479233536
130000,0.9052105310800554,130000,severe_toxic,0.5078534031413613,0.60625,0.5527065527065527,0.990939319850614
130000,0.9052105310800554,130000,obscene,0.7981072555205048,0.8982248520710059,0.8452115812917594,0.9927031353938398
130000,0.9052105310800554,130000,threat,0.5813953488372093,0.5208333333333334,0.5494505494505495,0.9813966582861932
130000,0.9052105310800554,130000,insult,0.7160220994475138,0.8223350253807107,0.7655050206733609,0.988839848886896
130000,0.9052105310800554,130000,identity_hate,0.5833333333333334,0.5957446808510638,0.5894736842105263,0.9866601470632416
140000,0.9748421103939059,140000,toxic,0.8544346648612051,0.8253760627861347,0.8396540252827678,0.9865696993750459
140000,0.9748421103939059,140000,severe_toxic,0.4448818897637795,0.70625,0.5458937198067633,0.9918670480440562
140000,0.9748421103939059,140000,obscene,0.8315911730545877,0.8473372781065088,0.839390386869871,0.9926969101016916
140000,0.9748421103939059,140000,threat,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.9856837942593758
140000,0.9748421103939059,140000,insult,0.7578313253012048,0.7982233502538071,0.7775030902348579,0.9890221315781549
140000,0.9748421103939059,140000,identity_hate,0.5573770491803278,0.723404255319149,0.6296296296296297,0.9889077063595727
143613,1.0,143613,toxic,0.8682926829268293,0.8149117069980379,0.8407557354925776,0.986922569505557
143613,1.0,143613,severe_toxic,0.4663677130044843,0.65,0.5430809399477807,0.9917200753259907
