loss_strategy,label,tn,fp,fn,tp
bce_pos_weight_clip20,toxic,13630,799,93,1436
bce_pos_weight_clip20,severe_toxic,15489,309,18,142
bce_pos_weight_clip20,obscene,14759,354,50,795
bce_pos_weight_clip20,threat,15846,64,9,39
bce_pos_weight_clip20,insult,14591,579,51,737
bce_pos_weight_clip20,identity_hate,15607,210,22,119
