loss_strategy,label,tn,fp,fn,tp
focal_gamma3,toxic,14223,206,291,1238
focal_gamma3,severe_toxic,15759,39,112,48
focal_gamma3,obscene,14981,132,136,709
focal_gamma3,threat,15891,19,20,28
focal_gamma3,insult,14972,198,168,620
focal_gamma3,identity_hate,15766,51,62,79
