loss_strategy,label,tn,fp,fn,tp
focal_gamma3,toxic,14204,225,265,1264
focal_gamma3,severe_toxic,15686,112,61,99
focal_gamma3,obscene,14952,161,109,736
focal_gamma3,threat,15891,19,20,28
focal_gamma3,insult,14934,236,137,651
focal_gamma3,identity_hate,15720,97,40,101
