loss_strategy,tn,fp,fn,tp
bce_no_pos_weight,91682,555,898,2613
bce_pos_weight_clip20,89922,2315,243,3268
focal_gamma1,91647,590,851,2660
focal_gamma2,91592,645,848,2663
focal_gamma3,91592,645,789,2722
