loss_strategy,label,tn,fp,fn,tp
bce_no_pos_weight,toxic,14198,231,247,1282
bce_no_pos_weight,severe_toxic,15648,150,45,115
bce_no_pos_weight,obscene,14977,136,132,713
bce_no_pos_weight,threat,15894,16,20,28
bce_no_pos_weight,insult,14893,277,115,673
bce_no_pos_weight,identity_hate,15722,95,41,100
