Train_Data_Size,Best Epoch,Label,Precision,Recall,F1,Roc_Auc
20000,6,toxic,0.6516129032258065,0.643312101910828,0.6474358974358975,0.9368143677991185
20000,6,severe_toxic,0.33620689655172414,0.7222222222222222,0.4588235294117647,0.9845629090473409
20000,6,obscene,0.796875,0.583969465648855,0.6740088105726872,0.9530875913114369
20000,6,threat,0.23529411764705882,0.4444444444444444,0.3076923076923077,0.956566263719139
20000,6,insult,0.5384615384615384,0.6074380165289256,0.570873786407767,0.9487092639104561
20000,6,identity_hate,0.32432432432432434,0.3,0.3116883116883117,0.9439868951612902
40000,5,toxic,0.7203579418344519,0.6836518046709129,0.7015250544662309,0.9499137195117663
40000,5,severe_toxic,0.4807692307692308,0.46296296296296297,0.4716981132075472,0.9858883347561067
40000,5,obscene,0.7830188679245284,0.6335877862595419,0.70042194092827,0.9636776235020412
40000,5,threat,0.29411764705882354,0.5555555555555556,0.38461538461538464,0.9929651149847504
40000,5,insult,0.5647840531561462,0.7024793388429752,0.6261510128913443,0.95326140575768
40000,5,identity_hate,0.36666666666666664,0.275,0.3142857142857143,0.9538457661290323
60000,9,toxic,0.7941176470588235,0.6878980891719745,0.7372013651877133,0.9613591860709868
60000,9,severe_toxic,0.37209302325581395,0.5925925925925926,0.45714285714285713,0.9850983211274356
60000,9,obscene,0.7079037800687286,0.7862595419847328,0.7450271247739603,0.96822426443341
60000,9,threat,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.9975066230325698
60000,9,insult,0.6204379562043796,0.7024793388429752,0.6589147286821705,0.9599773673916745
60000,9,identity_hate,0.17391304347826086,0.6,0.2696629213483146,0.9532963709677419
80000,5,toxic,0.7076023391812866,0.7707006369426752,0.7378048780487805,0.9596413113134089
80000,5,severe_toxic,0.3178294573643411,0.7592592592592593,0.44808743169398907,0.9858209402285424
80000,5,obscene,0.8232558139534883,0.6755725190839694,0.7421383647798742,0.973689255942695
80000,5,threat,0.15555555555555556,0.7777777777777778,0.25925925925925924,0.9951245575368998
80000,5,insult,0.6504065040650406,0.6611570247933884,0.6557377049180327,0.9666321011328463
80000,5,identity_hate,0.17763157894736842,0.675,0.28125,0.9569758064516128
100000,5,toxic,0.7593818984547461,0.7303609341825902,0.7445887445887446,0.9594781729819484
100000,5,severe_toxic,0.3146853146853147,0.8333333333333334,0.45685279187817257,0.9880936334636294
100000,5,obscene,0.7519685039370079,0.7290076335877863,0.7403100775193798,0.9717921369856835
100000,5,threat,0.22580645161290322,0.7777777777777778,0.35,0.9942785903515217
100000,5,insult,0.6590909090909091,0.5991735537190083,0.6277056277056277,0.9624338651909442
100000,5,identity_hate,0.3404255319148936,0.4,0.367816091954023,0.9572681451612903
120000,6,toxic,0.7316561844863732,0.7409766454352441,0.7362869198312236,0.9589456294631576
120000,6,severe_toxic,0.37383177570093457,0.7407407407407407,0.4968944099378882,0.9865959772955325
120000,6,obscene,0.7854077253218884,0.6984732824427481,0.7393939393939394,0.9691542957862208
120000,6,threat,0.25,0.6666666666666666,0.36363636363636365,0.9946347870611544
120000,6,insult,0.5874587458745875,0.7355371900826446,0.653211009174312,0.9595696156798988
120000,6,identity_hate,0.2222222222222222,0.45,0.2975206611570248,0.9443346774193548
140000,3,toxic,0.7584541062801933,0.6666666666666666,0.7096045197740113,0.9567784211116002
140000,3,severe_toxic,0.35714285714285715,0.5555555555555556,0.43478260869565216,0.9862777253598118
140000,3,obscene,0.8055555555555556,0.6641221374045801,0.7280334728033473,0.9668129045978754
140000,3,threat,0.25,0.7777777777777778,0.3783783783783784,0.9960818361940381
140000,3,insult,0.6489795918367347,0.6570247933884298,0.6529774127310062,0.958530912703789
140000,3,identity_hate,0.21348314606741572,0.475,0.29457364341085274,0.9527368951612903
