label,tn,fp,fn,tp,train_size
toxic,12835,1582,46,1495,30000
severe_toxic,15208,587,4,159,30000
obscene,14184,944,22,808,30000
threat,15754,151,30,23,30000
insult,13955,1220,28,755,30000
identity_hate,14969,847,28,114,30000
