label,tn,fp,fn,tp,train_size
toxic,14110,307,266,1275,80000
severe_toxic,15628,167,41,122,80000
obscene,14963,165,106,724,80000
threat,15858,47,15,38,80000
insult,14882,293,126,657,80000
identity_hate,15706,110,51,91,80000
