label,tn,fp,fn,tp,train_size
toxic,14074,343,250,1291,140000
severe_toxic,15597,198,38,125,140000
obscene,14908,220,73,757,140000
threat,15864,41,22,31,140000
insult,14911,264,162,621,140000
identity_hate,15747,69,72,70,140000
