label,tn,fp,fn,tp,train_size
toxic,14074,343,246,1295,60000
severe_toxic,15631,164,44,119,60000
obscene,14951,177,107,723,60000
threat,15865,40,20,33,60000
insult,14853,322,131,652,60000
identity_hate,15715,101,53,89,60000
