label,tn,fp,fn,tp,train_size
toxic,13471,946,86,1455,110000
severe_toxic,15282,513,4,159,110000
obscene,14520,608,19,811,110000
threat,15734,171,6,47,110000
insult,14339,836,35,748,110000
identity_hate,15435,381,13,129,110000
