label,tn,fp,fn,tp,train_size
toxic,14098,319,284,1257,20000
severe_toxic,15660,135,64,99,20000
obscene,14948,180,147,683,20000
threat,15865,40,39,14,20000
insult,14793,382,122,661,20000
identity_hate,15740,76,82,60,20000
