label,tn,fp,fn,tp,train_size
toxic,14105,312,316,1225,30000
severe_toxic,15681,114,69,94,30000
obscene,14932,196,124,706,30000
threat,15882,23,38,15,30000
insult,14853,322,172,611,30000
identity_hate,15732,84,84,58,30000
