label,tn,fp,fn,tp,train_size
toxic,14106,311,278,1263,70000
severe_toxic,15660,135,59,104,70000
obscene,14931,197,97,733,70000
threat,15880,25,22,31,70000
insult,14891,284,146,637,70000
identity_hate,15717,99,53,89,70000
