label,tn,fp,fn,tp,train_size
toxic,13520,897,94,1447,60000
severe_toxic,15236,559,3,160,60000
obscene,14512,616,26,804,60000
threat,15801,104,15,38,60000
insult,14366,809,37,746,60000
identity_hate,15428,388,19,123,60000
