label,tn,fp,fn,tp,train_size
toxic,14128,289,263,1278,90000
severe_toxic,15588,207,33,130,90000
obscene,14950,178,100,730,90000
threat,15877,28,19,34,90000
insult,14860,315,123,660,90000
identity_hate,15706,110,50,92,90000
