label,precision_baseline,recall_baseline,f1_baseline,roc_auc_baseline,precision_tuned,recall_tuned,f1_tuned,roc_auc_tuned,train_size
toxic,0.6225364181662382,0.9428942245295263,0.7499354838709678,0.986787017831759,0.8441116405718175,0.8046722907203114,0.8239202657807309,0.986787017831759,130000
severe_toxic,0.26700680272108845,0.9631901840490797,0.4181091877496671,0.9907004429840148,0.4517374517374517,0.7177914110429447,0.5545023696682464,0.9907004429840148,130000
obscene,0.5652477320307048,0.9759036144578314,0.7158638974812196,0.9933762017928934,0.7595959595959596,0.9060240963855422,0.8263736263736263,0.9933762017928934,130000
threat,0.43617021276595747,0.7735849056603774,0.5578231292517006,0.9940555064563772,0.4931506849315068,0.6792452830188679,0.5714285714285714,0.9940555064563772,130000
insult,0.49273447820343463,0.9527458492975734,0.6495428820200261,0.9865642009674277,0.6834016393442623,0.8518518518518519,0.7583854462762933,0.9865642009674277,130000
identity_hate,0.33519553072625696,0.8450704225352113,0.48,0.9903732269693019,0.524390243902439,0.6056338028169014,0.5620915032679739,0.9903732269693019,130000
