label,precision_baseline,recall_baseline,f1_baseline,roc_auc_baseline,precision_tuned,recall_tuned,f1_tuned,roc_auc_tuned,train_size
toxic,0.6453068592057761,0.9279688513951979,0.7612456747404844,0.9851116037258091,0.7900856793145655,0.8377676833225178,0.813228346456693,0.9851116037258091,140000
severe_toxic,0.21595598349381018,0.9631901840490797,0.35280898876404493,0.9900327625617333,0.38699690402476783,0.7668711656441718,0.51440329218107,0.9900327625617333,140000
obscene,0.6295133437990581,0.9662650602409638,0.7623574144486692,0.9922169375545545,0.77482088024565,0.9120481927710843,0.8378527946873271,0.9922169375545545,140000
threat,0.1329639889196676,0.9056603773584906,0.2318840579710145,0.9931990058899243,0.4305555555555556,0.5849056603773585,0.496,0.9931990058899243,140000
insult,0.5044735030970406,0.9361430395913155,0.6556350626118068,0.9847330316170854,0.7016949152542373,0.7931034482758621,0.7446043165467626,0.9847330316170854,140000
identity_hate,0.18302828618968386,0.7746478873239436,0.2960969044414536,0.9814399484921671,0.5035971223021583,0.49295774647887325,0.498220640569395,0.9814399484921671,140000
