label,tn,fp,fn,tp,train_size
toxic,13596,821,111,1430,40000
severe_toxic,15264,531,3,160,40000
obscene,14545,583,27,803,40000
threat,15675,230,25,28,40000
insult,14226,949,33,750,40000
identity_hate,15179,637,22,120,40000
