label,tn,fp,fn,tp,train_size
toxic,13378,1039,60,1481,120000
severe_toxic,15396,399,12,151,120000
obscene,14553,575,19,811,120000
threat,15854,51,15,38,120000
insult,14388,787,33,750,120000
identity_hate,15638,178,28,114,120000
