label,tn,fp,fn,tp,train_size
toxic,13536,881,88,1453,130000
severe_toxic,15364,431,6,157,130000
obscene,14505,623,20,810,130000
threat,15852,53,12,41,130000
insult,14407,768,37,746,130000
identity_hate,15578,238,22,120,130000
