label,tn,fp,fn,tp,train_size
toxic,13147,1270,58,1483,50000
severe_toxic,15166,629,3,160,50000
obscene,14353,775,17,813,50000
threat,15709,196,14,39,50000
insult,14242,933,35,748,50000
identity_hate,15260,556,20,122,50000
