label,precision_baseline,recall_baseline,f1_baseline,roc_auc_baseline,precision_tuned,recall_tuned,f1_tuned,roc_auc_tuned,train_size
toxic,0.5672043010752689,0.9584685269305646,0.7126658624849216,0.9853099014218965,0.8024142312579415,0.8195976638546398,0.8109149277688603,0.9853099014218965,70000
severe_toxic,0.2421875,0.950920245398773,0.386052303860523,0.9900044084774828,0.4351464435146444,0.6380368098159509,0.5174129353233831,0.9900044084774828,70000
obscene,0.545515846257586,0.9746987951807229,0.6995244271508863,0.9925188591489172,0.7881720430107527,0.8831325301204819,0.8329545454545455,0.9925188591489172,70000
threat,0.3627450980392157,0.6981132075471698,0.4774193548387097,0.9893957637624339,0.5535714285714286,0.5849056603773585,0.5688073394495413,0.9893957637624339,70000
insult,0.4289756649688738,0.9680715197956578,0.5945098039215686,0.9854018149263278,0.6916395222584147,0.8135376756066411,0.7476525821596244,0.9854018149263278,70000
identity_hate,0.2638888888888889,0.8028169014084507,0.397212543554007,0.9870582562140674,0.4734042553191489,0.6267605633802817,0.5393939393939394,0.9870582562140674,70000
