label,tn,fp,fn,tp,train_size
toxic,14188,229,301,1240,130000
severe_toxic,15653,142,46,117,130000
obscene,14890,238,78,752,130000
threat,15868,37,17,36,130000
insult,14866,309,116,667,130000
identity_hate,15738,78,56,86,130000
