label,tn,fp,fn,tp,train_size
toxic,13537,880,90,1451,100000
severe_toxic,15343,452,7,156,100000
obscene,14710,418,37,793,100000
threat,15853,52,16,37,100000
insult,14469,706,45,738,100000
identity_hate,15502,314,23,119,100000
