label,precision_baseline,recall_baseline,f1_baseline,roc_auc_baseline,precision_tuned,recall_tuned,f1_tuned,roc_auc_tuned,train_size
toxic,0.617320819112628,0.9390006489292667,0.744916344916345,0.9849837038498739,0.7905982905982906,0.8403634003893575,0.8147216105693614,0.9849837038498739,60000
severe_toxic,0.22253129346314326,0.9815950920245399,0.36281179138321995,0.9901345265353445,0.4204946996466431,0.7300613496932515,0.5336322869955157,0.9901345265353445,60000
obscene,0.5661971830985916,0.9686746987951808,0.7146666666666667,0.992184005721458,0.8033333333333333,0.8710843373493976,0.8358381502890173,0.992184005721458,60000
threat,0.2676056338028169,0.7169811320754716,0.38974358974358975,0.9900179722764291,0.4520547945205479,0.6226415094339622,0.5238095238095238,0.9900179722764291,60000
insult,0.4797427652733119,0.9527458492975734,0.6381522668947819,0.9846230756121115,0.6694045174537988,0.8326947637292464,0.7421741605008537,0.9846230756121115,60000
identity_hate,0.24070450097847357,0.8661971830985915,0.3767228177641654,0.9876159460556968,0.46842105263157896,0.6267605633802817,0.536144578313253,0.9876159460556968,60000
