label,tn,fp,fn,tp,train_size
toxic,14131,286,266,1275,110000
severe_toxic,15556,239,26,137,110000
obscene,14946,182,106,724,110000
threat,15843,62,13,40,110000
insult,14913,262,145,638,110000
identity_hate,15664,152,31,111,110000
