label,tn,fp,fn,tp,train_size
toxic,13735,682,115,1426,143613
severe_toxic,15383,412,9,154,143613
obscene,14650,478,27,803,143613
threat,15832,73,10,43,143613
insult,14542,633,43,740,143613
identity_hate,15529,287,20,122,143613
