label,tn,fp,fn,tp,train_size
toxic,14134,283,301,1240,40000
severe_toxic,15605,190,39,124,40000
obscene,14989,139,139,691,40000
threat,15894,11,39,14,40000
insult,14864,311,152,631,40000
identity_hate,15748,68,75,67,40000
