label,tn,fp,fn,tp,train_size
toxic,14088,329,318,1223,10000
severe_toxic,15686,109,65,98,10000
obscene,14940,188,153,677,10000
threat,15867,38,46,7,10000
insult,14926,249,221,562,10000
identity_hate,15580,236,80,62,10000
