label,tn,fp,fn,tp,train_size
toxic,14199,218,310,1231,120000
severe_toxic,15623,172,40,123,120000
obscene,14940,188,92,738,120000
threat,15868,37,18,35,120000
insult,14897,278,139,644,120000
identity_hate,15696,120,36,106,120000
