label,tn,fp,fn,tp,train_size
toxic,13290,1127,64,1477,70000
severe_toxic,15310,485,8,155,70000
obscene,14454,674,21,809,70000
threat,15840,65,16,37,70000
insult,14166,1009,25,758,70000
identity_hate,15498,318,28,114,70000
