label,tn,fp,fn,tp,train_size
toxic,13416,1001,71,1470,80000
severe_toxic,15325,470,8,155,80000
obscene,14525,603,27,803,80000
threat,15756,149,5,48,80000
insult,14311,864,32,751,80000
identity_hate,15370,446,16,126,80000
