label,tn,fp,fn,tp,train_size
toxic,14182,235,315,1226,100000
severe_toxic,15611,184,38,125,100000
obscene,15001,127,136,694,100000
threat,15871,34,20,33,100000
insult,14958,217,185,598,100000
identity_hate,15732,84,52,90,100000
