label,tn,fp,fn,tp,train_size
toxic,13687,730,155,1386,10000
severe_toxic,15012,783,2,161,10000
obscene,14452,676,43,787,10000
threat,15410,495,29,24,10000
insult,14390,785,59,724,10000
identity_hate,14706,1110,24,118,10000
