label,tn,fp,fn,tp,train_size
toxic,14123,294,241,1300,143613
severe_toxic,15619,176,38,125,143613
obscene,14999,129,130,700,143613
threat,15854,51,16,37,143613
insult,14871,304,125,658,143613
identity_hate,15698,118,42,100,143613
