label,tn,fp,fn,tp,train_size
toxic,13752,665,136,1405,90000
severe_toxic,15308,487,6,157,90000
obscene,14565,563,21,809,90000
threat,15840,65,13,40,90000
insult,14388,787,44,739,90000
identity_hate,15475,341,17,125,90000
