label,tn,fp,fn,tp,train_size
toxic,14090,327,299,1242,50000
severe_toxic,15633,162,47,116,50000
obscene,14889,239,86,744,50000
threat,15881,24,31,22,50000
insult,14952,223,191,592,50000
identity_hate,15730,86,62,80,50000
