label,best_threshold,best_f1_on_val,train_size
toxic,0.94,0.7987138263665595,50000
severe_toxic,0.95,0.5260770975056689,50000
obscene,0.95,0.8207391064533922,50000
threat,0.81,0.4444444444444444,50000
insult,0.95,0.7409261576971214,50000
identity_hate,0.95,0.5194805194805194,50000
