label,tn,fp,fn,tp,train_size
toxic,13623,794,123,1418,20000
severe_toxic,15427,368,20,143,20000
obscene,14454,674,37,793,20000
threat,15691,214,30,23,20000
insult,14389,786,48,735,20000
identity_hate,15244,572,38,104,20000
