label,best_threshold,best_f1_on_val,train_size
toxic,0.88,0.8147216105693614,60000
severe_toxic,0.94,0.5336322869955157,60000
obscene,0.95,0.8358381502890173,60000
threat,0.71,0.5238095238095238,60000
insult,0.92,0.7421741605008537,60000
identity_hate,0.92,0.536144578313253,60000
