label,precision_baseline,recall_baseline,f1_baseline,roc_auc_baseline,precision_tuned,recall_tuned,f1_tuned,roc_auc_tuned,train_size
toxic,0.4858628534286643,0.9701492537313433,0.6474664356864444,0.9827920990780001,0.7970071567989591,0.7949383517196625,0.7959714100064977,0.9827920990780001,30000
severe_toxic,0.2131367292225201,0.9754601226993865,0.34983498349834985,0.9894905392519571,0.4519230769230769,0.5766871165644172,0.5067385444743935,0.9894905392519571,30000
obscene,0.4611872146118721,0.9734939759036144,0.6258714175058094,0.9911209486279332,0.7827050997782705,0.8506024096385543,0.815242494226328,0.9911209486279332,30000
threat,0.13218390804597702,0.4339622641509434,0.2026431718061674,0.9701363639059746,0.39473684210526316,0.2830188679245283,0.32967032967032966,0.9701363639059746,30000
insult,0.3822784810126582,0.9642401021711366,0.5474981870920957,0.982373627390954,0.654876741693462,0.7803320561941252,0.7121212121212122,0.982373627390954,30000
identity_hate,0.1186264308012487,0.8028169014084507,0.20670897552130554,0.9733359692805289,0.4084507042253521,0.4084507042253521,0.4084507042253521,0.9733359692805289,30000
