label,precision_baseline,recall_baseline,f1_baseline,roc_auc_baseline,precision_tuned,recall_tuned,f1_tuned,roc_auc_tuned,train_size
toxic,0.6059975010412328,0.9441920830629461,0.7382039573820396,0.9858865874013019,0.8167841127482383,0.827384815055159,0.8220502901353965,0.9858865874013019,110000
severe_toxic,0.23660714285714285,0.9754601226993865,0.38083832335329343,0.9905373098965465,0.36436170212765956,0.8404907975460123,0.5083487940630798,0.9905373098965465,110000
obscene,0.5715292459478506,0.9771084337349397,0.7212094264117386,0.9930781826406632,0.7991169977924945,0.8722891566265061,0.8341013824884793,0.9930781826406632,110000
threat,0.21559633027522937,0.8867924528301887,0.34686346863468637,0.9945187522613632,0.39215686274509803,0.7547169811320755,0.5161290322580645,0.9945187522613632,110000
insult,0.4722222222222222,0.9553001277139208,0.6320236586396282,0.986346014252621,0.7088888888888889,0.8148148148148148,0.7581699346405228,0.986346014252621,110000
identity_hate,0.2529411764705882,0.9084507042253521,0.39570552147239263,0.9908140357063981,0.4220532319391635,0.7816901408450704,0.5481481481481482,0.9908140357063981,110000
